Metric	Channel	Feature	Unit	Description
Green_Area	Green	Area	µm²	Avg Green Object Area (µm²)
Green_Area_Image	Green	Area	µm²/Image	Total Green Object Area (µm²/Image)
Green_Area_Well	Green	Area	µm²/Well	Total Green Object Area (µm²/Well)
Green_Confluence	Green	Confluence	%	Green Object Confluence (Percent)
Green_Count_Image	Green	Count	1/Image	Green Object Count (1/Image)
Green_Count_mm	Green	Count	1/mm²	Green Object Count (1/mm²)
Green_Count_Well	Green	Count	1/Well	Green Object Count (1/Well)
Green_Eccentricity	Green	Eccentricity	NA	Avg Green Object Eccentricity
Green_Intensity_um	Green	Intensity	GCU x µm²	Avg Green Object Integrated Intensity (GCU x µm²)
Green_Intensity	Green	Intensity	GCU	Avg Green Object Mean Intensity (GCU)
Green_Intensity_um_Image	Green	Intensity	GCU x µm²/Image	Total Green Object Integrated Intensity (GCU x µm²/Image)
Phase_Area	Phase	Area	µm²	Avg Phase Object Area (µm²)
Phase_Area_Image	Phase	Area	µm²/Image	Total Phase Object Area (µm²/Image)
Phase_Area_Well	Phase	Area	µm²/Well	Total Phase Object Area (µm²/Well)
Phase_Confluence	Phase	Confluence	%	Phase Object Confluence (Percent)
Phase_Count_Image	Phase	Count	1/Image	Phase Object Count (1/Image)
Phase_Count_mm	Phase	Count	1/mm²	Phase Object Count (1/mm²)
Phase_Count_Well	Phase	Count	1/Well	Phase Object Count (1/Well)
Phase_Eccentricity	Phase	Eccentricity	NA	Avg Phase Object Eccentricity
Phase_Intensity_um	Phase	Intensity	GCU x µm²	Avg Phase Object Integrated Intensity (GCU x µm²)
Phase_Intensity	Phase	Intensity	GCU	Avg Phase Object Mean Intensity (GCU)
Phase_Intensity_um_Image	Phase	Intensity	GCU x µm²/Image	Total Phase Object Integrated Intensity (GCU x µm²/Image)
Red_Area	Red	Area	µm²	Avg Red Object Area (µm²)
Red_Area_Image	Red	Area	µm²/Image	Total Red Object Area (µm²/Image)
Red_Area_Well	Red	Area	µm²/Well	Total Red Object Area (µm²/Well)
Red_Confluence	Red	Confluence	%	Red Object Confluence (Percent)
Red_Count_Image	Red	Count	1/Image	Red Object Count (1/Image)
Red_Count_mm	Red	Count	1/mm²	Red Object Count (1/mm²)
Red_Count_Well	Red	Count	1/Well	Red Object Count (1/Well)
Red_Eccentricity	Red	Eccentricity	NA	Avg Red Object Eccentricity
Red_Intensity_um	Red	Intensity	GCU x µm²	Avg Red Object Integrated Intensity (GCU x µm²)
Red_Intensity	Red	Intensity	GCU	Avg Red Object Mean Intensity (GCU)
Red_Intensity_um_Image	Red	Intensity	GCU x µm²/Image	Total Red Object Integrated Intensity (GCU x µm²/Image)
